COMPORTAMIENTO COMPUTACIONAL
Mediana de 3 ejecuciones por caso, en milisegundos.

Caso           Programa       n      L    Estados  Mediana ms
n4_L12         consenso       4     12        146       0.142
n4_L12         hamiltoniano   4     12         47       0.032
n6_L12         consenso       6     12       1602       1.172
n6_L12         hamiltoniano   6     12        123       0.043
n8_L12         consenso       8     12      21260      16.439
n8_L12         hamiltoniano   8     12        327       0.092
oficial_x1     consenso       8  11-23      16374      25.427
oficial_x1     hamiltoniano   8  11-23        967       0.192
oficial_x2     consenso       8  22-46      33511     226.116
oficial_x2     hamiltoniano   8  22-46        967       1.092
oficial_x4     consenso       8  44-92     102838    1143.666
oficial_x4     hamiltoniano   8  44-92        967       1.008
