COMPORTAMIENTO COMPUTACIONAL
Mediana de 3 ejecuciones por caso, en milisegundos.
Caso           Programa       n      L    Estados  Mediana ms
n4_L12         consenso       4     12        146       0.121
n4_L12         hamiltoniano   4     12         47       0.026
n6_L12         consenso       6     12       1602       1.747
n6_L12         hamiltoniano   6     12        123       0.063
n8_L12         consenso       8     12      21260      24.159
n8_L12         hamiltoniano   8     12        327       0.126
oficial_x1     consenso       8  11-23      16374      52.437
oficial_x1     hamiltoniano   8  11-23        967       0.234
oficial_x2     consenso       8  22-46      33511     290.091
oficial_x2     hamiltoniano   8  22-46        967       0.646
oficial_x4     consenso       8  44-92     102838    2198.483
oficial_x4     hamiltoniano   8  44-92        967       2.148
